feature,lgb_importance,xgb_importance,avg_importance
adx_14_1h,2865,0.019370355,1432.509685177356
btc_correlation,2471,0.016458914,1235.508229456842
adx_14,2470,0.015348661,1235.0076743303798
dist_ema_50,2436,0.017202599,1218.008601299487
obv,2194,0.02001885,1097.010009424761
volume_std,2101,0.017565733,1050.508782866411
eth_btc_ratio,1935,0.021089952,967.5105449762195
hist_vol_50,1909,0.023161022,954.5115805109963
hour_utc,1857,0.018585699,928.5092928493395
volume_sma,1816,0.019183137,908.0095915682614
vol_trend,1802,0.015059909,901.007529954426
bb_width,1800,0.014528011,900.0072640054859
vol_expansion,1767,0.016151149,883.5080755744129
vix,1738,0.022057526,869.0110287629068
macd_hist,1737,0.012841961,868.5064209806733
rsi_14,1619,0.015261366,809.507630683016
atr_percentile,1540,0.014665498,770.0073327491991
hist_vol_20,1510,0.016616128,755.0083080641925
treasury_10y,1499,0.020000027,749.5100000137463
dxy,1490,0.020776764,745.0103883817792
vol_zscore,1489,0.014389094,744.5071945469826
vwap,1482,0.019177759,741.0095888795331
ema_200_1h,1479,0.021573812,739.5107869058847
ema_50_1h,1376,0.021180231,688.0105901155621
bb_position,1368,0.012078609,684.0060393046588
spx,1344,0.02107137,672.0105356853455
atr_14,1315,0.01639095,657.5081954747438
returns_4h,1269,0.013301803,634.5066509013996
returns_1h,1112,0.010439387,556.0052196932957
keltner_width,1107,0.1336796,553.5668397992849
atr_ratio,1026,0.037831467,513.0189157333225
high_low_range,814,0.013114557,407.0065572783351
returns_15m,800,0.008849987,400.00442499341443
transaction_volume,787,0.016061109,393.5080305542797
weekday,776,0.017589722,388.00879486091435
volume_zscore,748,0.009470758,374.00473537901416
volume_ratio,726,0.00980659,363.0049032950774
close_position,721,0.008190211,360.5040951054543
vol_regime_encoded,268,0.033608,134.01680400036275
europe_session,254,0.02871471,127.01435735542327
us_session,176,0.023233768,88.01161688379943
above_ema_200,159,0.02390929,79.51195464469492
europe_us_overlap,140,0.022179801,70.01108990050852
us_market_open,138,0.018758617,69.00937930867076
minute_utc,130,0.006586255,65.00329312752001
asia_session,111,0.01616922,55.50808461010456
us_afterhours,108,0.017416993,54.00870849657804
asia_europe_overlap,108,0.014076281,54.007038140669465
us_premarket,72,0.017594436,36.008797218091786
is_weekend,41,0.017612401,20.508806200698018
btc_dominance,0,0.0,0.0
