feature,lgb_importance,xgb_importance,avg_importance
dist_ema_50,2759,0.017305229,1379.5086526144296
adx_14_1h,2437,0.01874939,1218.5093746948987
btc_correlation,2386,0.017069748,1193.0085348738357
adx_14,2383,0.0150789395,1191.5075394697487
bb_width,2136,0.015698226,1068.0078491130844
rsi_14,2009,0.012979024,1004.5064895120449
vol_trend,1995,0.014222198,997.507111099083
eth_btc_ratio,1944,0.016543698,972.0082718487829
volume_std,1935,0.016137332,967.5080686658621
hist_vol_50,1906,0.018495044,953.0092475218698
macd_hist,1884,0.012789437,942.006394718308
vol_zscore,1822,0.014885657,911.0074428282678
returns_4h,1763,0.012245361,881.5061226803809
hour_utc,1745,0.019241046,872.5096205230802
volume_sma,1684,0.043387093,842.021693546325
returns_1h,1684,0.010337035,842.0051685175858
obv,1627,0.020115184,813.5100575918332
vol_expansion,1618,0.013017479,809.0065087396652
hist_vol_20,1558,0.013925761,779.0069628804922
atr_percentile,1540,0.014560941,770.0072804703377
bb_position,1524,0.011474501,762.0057372506708
vwap,1246,0.02100097,623.0105004850775
returns_15m,1214,0.008949811,607.0044749053195
atr_14,1149,0.022120181,574.5110600907356
close_position,1146,0.00816002,573.0040800101124
atr_ratio,1127,0.060816694,563.5304083470255
transaction_volume,1117,0.01897958,558.5094897896051
vix,1100,0.01970863,550.0098543148488
treasury_10y,1099,0.017974269,549.5089871343225
ema_50_1h,1067,0.022013592,533.5110067958012
volume_zscore,1060,0.0097850645,530.004892532248
volume_ratio,1039,0.01059085,519.5052954251878
high_low_range,1030,0.010240564,515.0051202820614
keltner_width,1026,0.053524133,513.026762066409
ema_200_1h,975,0.028495103,487.5142475515604
dxy,909,0.022710472,454.5113552361727
spx,852,0.020287223,426.01014361158013
weekday,677,0.021689642,338.51084482111037
minute_utc,285,0.006385753,142.50319287646562
europe_session,245,0.033722445,122.51686122268438
vol_regime_encoded,216,0.04017579,108.02008789591491
us_market_open,178,0.014107799,89.00705389957875
us_premarket,168,0.019763364,84.00988168176264
asia_session,140,0.020183068,70.0100915338844
asia_europe_overlap,126,0.030524783,63.01526239141822
europe_us_overlap,120,0.01715045,60.00857522524893
above_ema_200,115,0.022876633,57.51143831666559
us_session,93,0.018928938,46.50946446880698
us_afterhours,56,0.020265471,28.010132735595107
is_weekend,29,0.030610329,14.515305164270103
btc_dominance,0,0.0,0.0
