feature,lgb_importance,xgb_importance,avg_importance
adx_14_1h,2785,0.016659673,1392.5083298366517
btc_correlation,2694,0.017395124,1347.0086975619197
dist_ema_50,2560,0.016886996,1280.0084434980527
hist_vol_50,2333,0.019223,1166.5096115004271
adx_14,2222,0.014816798,1111.0074083991349
treasury_10y,2209,0.019554727,1104.5097773633897
volume_std,2197,0.015655406,1098.5078277029097
hour_utc,2113,0.023654504,1056.511827251874
eth_btc_ratio,2103,0.018032083,1051.509016041644
vix,2041,0.01957835,1020.509789175354
obv,1953,0.01975702,976.509878509678
dxy,1807,0.019203618,903.5096018090844
spx,1760,0.020792862,880.0103964312002
vol_trend,1683,0.01452481,841.5072624050081
vol_zscore,1678,0.0149679035,839.0074839517474
hist_vol_20,1646,0.015707148,823.0078535741195
ema_200_1h,1588,0.019423317,794.0097116585821
macd_hist,1588,0.0136020975,794.0068010487594
volume_sma,1536,0.016671186,768.0083355931565
atr_percentile,1535,0.01489977,767.507449884899
vwap,1510,0.018828014,755.0094140069559
vol_expansion,1488,0.014359448,744.0071797240525
ema_50_1h,1385,0.020492367,692.5102461837232
rsi_14,1358,0.013620601,679.0068103005178
weekday,1270,0.023578012,635.0117890061811
bb_width,1266,0.014421855,633.0072109275497
atr_14,1247,0.01656613,623.5082830647007
bb_position,1233,0.012897181,616.5064485906623
atr_ratio,1201,0.070275225,600.5351376123726
keltner_width,1164,0.10195993,582.0509799644351
returns_4h,1001,0.012628721,500.50631436053663
returns_1h,836,0.010355566,418.0051777828485
transaction_volume,655,0.014158202,327.5070791011676
high_low_range,618,0.013895641,309.0069478205405
volume_ratio,596,0.011304739,298.0056523694657
volume_zscore,557,0.010613353,278.5053066764958
returns_15m,456,0.008717971,228.0043589854613
close_position,401,0.00782128,200.50391063978896
vol_regime_encoded,357,0.02702531,178.51351265516132
europe_session,255,0.029662633,127.51483131665736
asia_session,180,0.019485097,90.00974254868925
asia_europe_overlap,135,0.015997233,67.50799861643463
us_market_open,127,0.018407097,63.509203548543155
us_premarket,121,0.03395892,60.516979459673166
europe_us_overlap,118,0.016263256,59.00813162792474
us_afterhours,114,0.020346409,57.01017320435494
us_session,113,0.022186156,56.51109307818115
above_ema_200,85,0.018112648,42.50905632413924
is_weekend,71,0.024470342,35.51223517116159
minute_utc,51,0.0065841856,25.50329209282063
btc_dominance,0,0.0,0.0
