feature,lgb_importance,xgb_importance,avg_importance
btc_correlation,2857,0.015876576,1428.5079382881522
dist_ema_50,2796,0.01835883,1398.0091794151813
vix,2687,0.019020548,1343.5095102740452
dxy,2476,0.019716758,1238.0098583791405
treasury_10y,2419,0.01873954,1209.509369770065
hist_vol_50,2355,0.016882705,1177.5084413522854
hour_utc,2285,0.020766513,1142.510383256711
adx_14,2121,0.014234663,1060.5071173314936
volume_std,2120,0.015655205,1060.0078276023269
obv,1903,0.018369881,951.5091849407181
eth_btc_ratio,1849,0.018330678,924.5091653391719
vol_trend,1843,0.014135602,921.5070678009652
volume_sma,1829,0.015072563,914.5075362813659
vwap,1744,0.018192934,872.0090964669362
spx,1717,0.019445138,858.509722569026
bb_width,1640,0.013872546,820.0069362730719
ema_200_1h,1592,0.01804395,796.0090219751
ema_50_1h,1576,0.018459393,788.0092296963558
hist_vol_20,1547,0.014194741,773.5070973704569
vol_zscore,1525,0.014578091,762.5072890454903
macd_hist,1520,0.012989672,760.0064948359504
atr_percentile,1485,0.014767042,742.5073835211806
atr_14,1428,0.014849552,714.0074247759767
vol_expansion,1400,0.013517495,700.0067587476224
weekday,1390,0.021041838,695.0105209192261
rsi_14,1298,0.012742755,649.0063713775016
keltner_width,1231,0.13150354,615.5657517686486
atr_ratio,1202,0.05132959,601.0256647951901
bb_position,981,0.01201334,490.50600667018443
returns_4h,948,0.012275474,474.006137737073
adx_14_1h,782,0.020393327,391.0101966634393
returns_1h,716,0.010162481,358.0050812405534
high_low_range,638,0.017241187,319.00862059369683
volume_zscore,498,0.009832442,249.0049162209034
transaction_volume,491,0.011261631,245.50563081540167
vol_regime_encoded,429,0.050336313,214.5251681562513
volume_ratio,417,0.010042347,208.50502117350698
close_position,350,0.007844595,175.00392229761928
returns_15m,348,0.008364313,174.00418215664104
europe_session,306,0.030859215,153.01542960759252
europe_us_overlap,174,0.017851267,87.00892563350499
us_premarket,159,0.029618628,79.51480931416154
us_session,151,0.019690396,75.5098451981321
above_ema_200,139,0.018143265,69.5090716322884
asia_europe_overlap,134,0.013807218,67.00690360879526
us_market_open,128,0.015117459,64.00755872949958
asia_session,124,0.017118482,62.008559240959585
us_afterhours,119,0.025023468,59.51251173391938
is_weekend,82,0.022114852,41.01105742622167
minute_utc,51,0.0061999676,25.50309998379089
btc_dominance,0,0.0,0.0
