feature,lgb_importance,xgb_importance,avg_importance
btc_correlation,2704,0.016109811,1352.008054905571
dist_ema_50,2594,0.015326785,1297.0076633924618
treasury_10y,2457,0.01781168,1228.5089058401063
vix,2404,0.01772701,1202.008863504976
adx_14,2312,0.014535954,1156.007267977111
hist_vol_50,2279,0.017851064,1139.5089255319908
dxy,2275,0.018265225,1137.5091326124966
hour_utc,2243,0.019495435,1121.5097477175295
volume_std,2140,0.015337254,1070.0076686269604
volume_sma,2001,0.015605499,1000.5078027495183
eth_btc_ratio,1981,0.01771518,990.5088575901464
obv,1978,0.01758201,989.0087910052389
spx,1885,0.019679653,942.5098398262635
vol_trend,1753,0.013728399,876.5068641994148
bb_width,1746,0.013601458,873.0068007288501
macd_hist,1712,0.013063562,856.0065317810513
vol_zscore,1611,0.014936078,805.5074680391699
hist_vol_20,1588,0.014313086,794.007156542968
atr_percentile,1552,0.014464579,776.0072322892956
atr_14,1506,0.015045717,753.0075228586793
vwap,1483,0.018058762,741.5090293809772
vol_expansion,1456,0.013446713,728.0067233564332
ema_200_1h,1420,0.019605428,710.0098027139902
weekday,1392,0.021054054,696.0105270268396
rsi_14,1346,0.012561705,673.0062808524817
atr_ratio,1297,0.06828909,648.5341445468366
ema_50_1h,1295,0.018660689,647.5093303443864
keltner_width,1138,0.13181108,569.0659055411816
returns_4h,1041,0.012215397,520.5061076986603
bb_position,916,0.011311921,458.0056559606455
adx_14_1h,882,0.01977291,441.00988645479083
returns_1h,747,0.00981774,373.5049088699743
transaction_volume,621,0.013747155,310.5068735773675
high_low_range,559,0.012542838,279.50627141911536
volume_zscore,521,0.010133802,260.5050669009797
vol_regime_encoded,489,0.058342926,244.5291714631021
volume_ratio,471,0.010811866,235.50540593313053
close_position,385,0.0077052335,192.50385261676274
returns_15m,376,0.007981333,188.00399066647515
europe_session,290,0.033055313,145.01652765646577
us_session,167,0.01687639,83.50843819510192
asia_session,150,0.019601295,75.00980064738542
europe_us_overlap,137,0.014626471,68.50731323566288
above_ema_200,123,0.015696922,61.507848461158574
us_market_open,119,0.017379794,59.5086898971349
us_afterhours,112,0.01598552,56.007992760278285
us_premarket,110,0.026233142,55.01311657112092
asia_europe_overlap,108,0.012930319,54.006465159356594
is_weekend,78,0.021515371,39.010757685638964
minute_utc,50,0.0060333186,25.00301665929146
btc_dominance,0,0.0,0.0
