feature,lgb_importance,xgb_importance,avg_importance
btc_correlation,3019,0.0162991,1509.5081495502964
vix,2699,0.018584333,1349.50929216668
treasury_10y,2620,0.020330848,1310.0101654240862
dist_ema_50,2562,0.016458977,1281.008229488507
dxy,2466,0.020294508,1233.0101472539827
hist_vol_50,2354,0.016882313,1177.0084411567077
hour_utc,2325,0.023491278,1162.5117456391454
adx_14,2305,0.014922893,1152.5074614463374
volume_std,2174,0.01592472,1087.0079623600468
volume_sma,1839,0.016599935,919.5082999672741
eth_btc_ratio,1762,0.018546332,881.0092731658369
spx,1711,0.020656735,855.5103283673525
ema_200_1h,1710,0.019942878,855.0099714389071
vol_zscore,1688,0.015349284,844.0076746419072
vol_trend,1687,0.013716274,843.5068581369705
bb_width,1619,0.013989942,809.5069949710742
vwap,1603,0.018485224,801.5092426119372
atr_percentile,1596,0.014773796,798.0073868981563
obv,1537,0.01891719,768.5094585949555
ema_50_1h,1508,0.019090932,754.0095454659313
atr_14,1490,0.014817283,745.0074086412787
vol_expansion,1488,0.013503461,744.0067517305724
hist_vol_20,1486,0.01418068,743.0070903399028
macd_hist,1483,0.012738837,741.5063694184646
weekday,1255,0.01985375,627.5099268751219
rsi_14,1243,0.012516585,621.5062582925893
atr_ratio,1224,0.04788514,612.0239425692707
keltner_width,1206,0.14051308,603.0702565386891
returns_4h,1072,0.012266135,536.0061330674216
adx_14_1h,890,0.022161698,445.0110808489844
bb_position,888,0.0113215055,444.00566075276583
returns_1h,779,0.009939409,389.50496970443055
transaction_volume,583,0.012995319,291.5064976597205
high_low_range,546,0.022320338,273.0111601687968
vol_regime_encoded,456,0.037303235,228.01865161769092
volume_ratio,452,0.009837864,226.0049189319834
volume_zscore,442,0.009467693,221.00473384652287
close_position,411,0.007838539,205.50391926942393
returns_15m,386,0.0083522415,193.00417612073943
europe_session,291,0.031166656,145.5155833279714
above_ema_200,161,0.019079681,80.50953984074295
us_afterhours,147,0.0213018,73.51065090019256
asia_session,144,0.022397216,72.01119860820472
us_session,143,0.016281623,71.50814081169665
us_market_open,115,0.015230843,57.507615421433
europe_us_overlap,106,0.016628936,53.00831446796656
asia_europe_overlap,97,0.014496239,48.507248119451106
us_premarket,90,0.022480238,45.01124011911452
minute_utc,73,0.0066562057,36.50332810287364
is_weekend,69,0.021210343,34.51060517132282
btc_dominance,0,0.0,0.0
