feature,lgb_importance,xgb_importance,avg_importance
btc_correlation,3018,0.01624003,1509.0081200152636
dist_ema_50,2675,0.016641678,1337.5083208391443
vix,2661,0.017464392,1330.5087321959436
eth_btc_ratio,2475,0.017398275,1237.5086991377175
treasury_10y,2238,0.017475089,1119.0087375445291
dxy,2235,0.018112602,1117.5090563008562
hist_vol_50,2220,0.016319184,1110.0081595918164
obv,2217,0.016554782,1108.5082773910835
adx_14,2216,0.013731396,1108.0068656979129
hour_utc,2199,0.019177655,1099.509588827379
volume_std,2081,0.014420108,1040.5072100539692
spx,1927,0.020015255,963.5100076273084
vol_trend,1687,0.012718463,843.5063592316583
volume_sma,1647,0.014865664,823.507432831917
bb_width,1634,0.012887663,817.006443831604
vwap,1609,0.018018251,804.5090091256425
macd_hist,1564,0.012257331,782.0061286655255
atr_percentile,1515,0.013500153,757.5067500765435
vol_zscore,1482,0.013131087,741.0065655433573
atr_14,1466,0.016742818,733.0083714090288
hist_vol_20,1454,0.01434185,727.0071709249169
ema_200_1h,1406,0.018297661,703.0091488305479
vol_expansion,1390,0.012297724,695.0061488621868
rsi_14,1366,0.012362647,683.0061813234352
ema_50_1h,1335,0.018463483,667.5092317415401
weekday,1314,0.020416196,657.0102080982178
atr_ratio,1269,0.07938525,634.5396926254034
keltner_width,1133,0.13080402,566.5654020085931
returns_4h,1033,0.011327217,516.5056636086665
bb_position,926,0.010358973,463.0051794867031
returns_1h,792,0.009259041,396.0046295206994
high_low_range,643,0.012902618,321.5064513091929
adx_14_1h,633,0.01928252,316.5096412599087
transaction_volume,619,0.013617231,309.50680861528963
returns_15m,556,0.008016664,278.00400833180174
volume_zscore,555,0.009854253,277.50492712669075
volume_ratio,487,0.009932597,243.5049662985839
close_position,393,0.0074942354,196.50374711770564
vol_regime_encoded,352,0.06769699,176.0338484942913
europe_session,280,0.025993476,140.01299673784524
us_afterhours,223,0.019448696,111.50972434785217
asia_session,165,0.017117009,82.50855850428343
us_session,158,0.018906333,79.00945316627622
us_market_open,145,0.0171703,72.50858515035361
us_premarket,140,0.025395202,70.01269760075957
above_ema_200,117,0.014839733,58.507419866509736
asia_europe_overlap,108,0.014100856,54.00705042807385
europe_us_overlap,98,0.014201839,49.007100919727236
is_weekend,76,0.023016553,38.01150827668607
minute_utc,68,0.0060270163,34.00301350816153
btc_dominance,0,0.0,0.0
