feature,lgb_importance,xgb_importance,avg_importance
adx_14,2643,0.016911935,1321.5084559675306
adx_14_1h,2491,0.018338863,1245.5091694314033
dist_ema_50,2459,0.016751505,1229.5083757527173
btc_correlation,2360,0.020185286,1180.0100926430896
hist_vol_50,2028,0.020817626,1014.0104088131338
macd_hist,2016,0.015122244,1008.0075611220673
vol_trend,2015,0.015952043,1007.5079760216177
bb_width,1966,0.014782,983.0073910001665
volume_std,1939,0.019443123,969.509721561335
volume_sma,1927,0.020782128,963.5103910639882
hour_utc,1833,0.023618825,916.51180941239
rsi_14,1828,0.014307125,914.0071535622701
vol_zscore,1780,0.016432574,890.0082162870094
vol_expansion,1753,0.014357912,876.5071789561771
atr_percentile,1675,0.015174397,837.5075871986337
bb_position,1659,0.012451166,829.5062255831435
hist_vol_20,1589,0.015766503,794.5078832516447
returns_1h,1455,0.010153235,727.5050766174681
obv,1426,0.019443208,713.0097216041759
treasury_10y,1394,0.01976651,697.0098832547665
atr_14,1379,0.017833099,689.5089165493846
returns_4h,1355,0.013016924,677.506508462131
vix,1212,0.026823537,606.0134117687121
atr_ratio,1209,0.037642974,604.5188214872032
high_low_range,1180,0.013167146,590.006583572831
returns_15m,1155,0.00941664,577.5047083199024
eth_btc_ratio,1153,0.017690085,576.5088450424373
spx,1150,0.022901641,575.0114508206025
close_position,1147,0.008225748,573.5041128741577
volume_ratio,1126,0.011047251,563.0055236252956
keltner_width,1100,0.06524452,550.0326222591102
dxy,1076,0.021754501,538.0108772506937
volume_zscore,1067,0.010553001,533.5052765007131
transaction_volume,1058,0.015154292,529.0075771459378
vwap,1052,0.024493163,526.0122465817258
ema_200_1h,1014,0.025690956,507.0128454780206
ema_50_1h,889,0.023255076,444.5116275381297
weekday,742,0.020958856,371.0104794278741
minute_utc,255,0.0070672454,127.50353362271562
vol_regime_encoded,205,0.03892981,102.51946490444243
europe_session,179,0.021799369,89.51089968439192
us_premarket,159,0.035824858,79.5179124288261
asia_session,149,0.019172743,74.50958637148142
us_session,134,0.020876752,67.01043837610632
europe_us_overlap,133,0.021074943,66.51053747162223
us_market_open,132,0.021673108,66.01083655375987
us_afterhours,100,0.022613123,50.011306561529636
above_ema_200,93,0.021582242,46.510791121050715
asia_europe_overlap,74,0.019417224,37.00970861222595
is_weekend,38,0.024540948,19.012270473875105
btc_dominance,0,0.0,0.0
