feature,lgb_importance,xgb_importance,avg_importance
btc_correlation,2850,0.016324578,1425.0081622889265
treasury_10y,2591,0.020159027,1295.510079513304
vix,2456,0.01962536,1228.009812680073
dist_ema_50,2322,0.017634066,1161.0088170329109
hist_vol_50,2282,0.017821135,1141.0089105674997
dxy,2281,0.020204172,1140.5101020857692
obv,2265,0.018626707,1132.5093133533373
adx_14,2246,0.014271001,1123.0071355006658
hour_utc,2237,0.02079199,1118.5103959953412
eth_btc_ratio,2185,0.017105388,1092.5085526937619
volume_std,2127,0.016163142,1063.508081571199
vwap,2079,0.017420845,1039.5087104225531
ema_200_1h,1976,0.020805065,988.0104025322944
bb_width,1725,0.01354667,862.5067733349279
volume_sma,1674,0.01475519,837.0073775951751
vol_trend,1656,0.014508414,828.0072542070411
vol_zscore,1647,0.015047963,823.5075239813887
ema_50_1h,1638,0.01774562,819.0088728098199
atr_percentile,1627,0.015123027,813.5075615136884
spx,1618,0.021704538,809.010852268897
macd_hist,1517,0.013013929,758.5065069645643
vol_expansion,1504,0.013387946,752.006693973206
hist_vol_20,1394,0.01377854,697.0068892701529
atr_14,1354,0.04897335,677.0244866758585
weekday,1251,0.021024164,625.5105120819062
rsi_14,1232,0.012432799,616.0062163993716
atr_ratio,1092,0.044941735,546.0224708672613
returns_4h,1065,0.012965626,532.5064828130417
bb_position,950,0.011684955,475.00584247754887
keltner_width,926,0.122060165,463.0610300824046
returns_1h,780,0.01007042,390.00503520993516
high_low_range,715,0.019145526,357.50957276299596
adx_14_1h,642,0.020232191,321.01011609565467
transaction_volume,608,0.01671441,304.0083572054282
volume_ratio,485,0.010246661,242.50512333028018
volume_zscore,455,0.009669661,227.5048348302953
returns_15m,450,0.008803695,225.00440184772015
close_position,441,0.007996374,220.50399818690494
vol_regime_encoded,293,0.01970486,146.5098524298519
europe_session,232,0.023570811,116.01178540568799
us_afterhours,155,0.02149998,77.51074999012053
above_ema_200,142,0.015002438,71.00750121893361
us_market_open,138,0.021523032,69.01076151616871
asia_session,137,0.018290361,68.50914518069476
us_session,131,0.016337724,65.50816886220127
europe_us_overlap,125,0.015341391,62.507670695427805
us_premarket,92,0.032631926,46.01631596311927
asia_europe_overlap,90,0.016261507,45.00813075341284
minute_utc,64,0.006906582,32.00345329102129
is_weekend,58,0.026403306,29.013201653026044
btc_dominance,0,0.0,0.0
