feature,lgb_importance,xgb_importance,avg_importance
adx_14_1h,2980,0.018143734,1490.0090718669817
dist_ema_50,2626,0.01886046,1313.0094302296638
btc_correlation,2427,0.016842118,1213.5084210587665
adx_14,2397,0.01653539,1198.5082676950842
volume_std,2166,0.016935527,1083.0084677636623
obv,2040,0.019352803,1020.0096764015034
rsi_14,2012,0.013426517,1006.0067132585682
macd_hist,1958,0.0134081105,979.0067040552385
hist_vol_50,1916,0.019060489,958.0095302443951
bb_width,1883,0.013701056,941.5068505280651
vol_trend,1821,0.015031795,910.5075158975087
hour_utc,1814,0.020108746,907.0100543731824
vol_expansion,1806,0.014716702,903.007358350791
vol_zscore,1774,0.014937581,887.0074687902816
hist_vol_20,1669,0.021556512,834.5107782557607
bb_position,1662,0.012183058,831.0060915290378
volume_sma,1596,0.018906169,798.0094530843198
returns_1h,1548,0.010029393,774.0050146966241
atr_percentile,1545,0.014653298,772.5073266490363
returns_4h,1499,0.011893484,749.5059467419051
eth_btc_ratio,1426,0.017505221,713.0087526105344
high_low_range,1272,0.013044511,636.006522255484
treasury_10y,1269,0.020865742,634.5104328710586
vix,1181,0.023982417,590.5119912084192
returns_15m,1159,0.00855108,579.5042755398899
atr_14,1092,0.021940589,546.0109702944756
volume_zscore,1079,0.010967659,539.5054838294163
vwap,1058,0.021923315,529.01096165739
volume_ratio,1056,0.010508356,528.0052541778423
keltner_width,1045,0.06664404,522.5333220213652
atr_ratio,1002,0.044844363,501.0224221814424
spx,981,0.018876087,490.50943804346025
close_position,980,0.007953681,490.00397684052587
ema_50_1h,936,0.026289742,468.01314487122
ema_200_1h,920,0.031066151,460.0155330756679
dxy,877,0.021364577,438.5106822885573
transaction_volume,861,0.013875454,430.50693772686645
weekday,714,0.022151459,357.0110757295042
minute_utc,239,0.007237728,119.50361886410974
us_session,220,0.03676438,110.01838218979537
europe_session,207,0.020015651,103.51000782568008
vol_regime_encoded,204,0.033074252,102.01653712615371
us_market_open,158,0.021481108,79.0107405539602
asia_session,156,0.016648112,78.00832405593246
us_afterhours,146,0.033972997,73.01698649860919
us_premarket,144,0.025869682,72.01293484121561
asia_europe_overlap,144,0.024959836,72.01247991807759
europe_us_overlap,128,0.01862295,64.00931147485971
above_ema_200,72,0.021945113,36.01097255665809
is_weekend,35,0.016770782,17.50838539097458
btc_dominance,0,0.0,0.0
