feature,lgb_importance,xgb_importance,avg_importance
adx_14_1h,2787,0.020349493,1393.5101747466251
btc_correlation,2509,0.017442359,1254.5087211793289
dist_ema_50,2466,0.016856061,1233.0084280306473
adx_14,2455,0.014934439,1227.507467219606
volume_std,1937,0.016400713,968.5082003567368
hour_utc,1934,0.02769246,967.0138462297618
vol_trend,1933,0.014062107,966.5070310533047
hist_vol_50,1911,0.018165903,955.509082951583
bb_width,1826,0.012844406,913.0064222030342
vix,1797,0.027876923,898.5139384614304
volume_sma,1760,0.015616057,880.0078080287203
treasury_10y,1756,0.021500217,878.0107501083985
macd_hist,1737,0.012746959,868.5063734794967
dxy,1720,0.026660629,860.0133303143084
vol_zscore,1689,0.014469423,844.5072347116657
hist_vol_20,1662,0.021541033,831.0107705164701
atr_percentile,1607,0.015431037,803.5077155185863
vol_expansion,1594,0.0144490795,797.0072245397605
atr_14,1517,0.018476505,758.5092382524163
eth_btc_ratio,1469,0.018851817,734.5094259083271
obv,1468,0.01909229,734.0095461448655
rsi_14,1460,0.012817081,730.006408540532
bb_position,1371,0.011518589,685.5057592946105
returns_1h,1309,0.010215186,654.5051075927913
returns_4h,1292,0.01182301,646.0059115048498
ema_200_1h,1271,0.021060582,635.5105302911252
ema_50_1h,1260,0.021716107,630.0108580533415
vwap,1238,0.0214246,619.0107123004273
spx,1206,0.023412429,603.0117062143981
keltner_width,1038,0.070227295,519.0351136475801
atr_ratio,1033,0.03635501,516.5181775055826
high_low_range,983,0.016415795,491.50820789765567
returns_15m,950,0.008585452,475.00429272605106
close_position,911,0.007987874,455.50399393681437
weekday,900,0.024359295,450.01217964757234
transaction_volume,895,0.013173408,447.5065867039375
volume_zscore,858,0.0099582365,429.00497911823913
volume_ratio,779,0.009157564,389.50457878177986
vol_regime_encoded,293,0.024168829,146.51208441425115
minute_utc,209,0.00610322,104.50305160996504
europe_session,199,0.035660494,99.51783024705946
us_premarket,166,0.04251729,83.02125864475965
asia_session,137,0.025659818,68.51282990910113
europe_us_overlap,119,0.015879912,59.50793995615095
us_afterhours,117,0.025669072,58.51283453591168
us_market_open,116,0.017495807,58.00874790363014
above_ema_200,107,0.021649353,53.51082467660308
asia_europe_overlap,102,0.023693463,51.01184673141688
us_session,97,0.01583604,48.50791801977903
is_weekend,50,0.029999131,25.014999565668404
btc_dominance,0,0.0,0.0
