feature,lgb_importance,xgb_importance,avg_importance
dist_ema_50,2644,0.017125258,1322.008562629111
adx_14,2583,0.016121883,1291.5080609414726
adx_14_1h,2570,0.018853115,1285.009426557459
btc_correlation,2342,0.01783071,1171.008915355429
obv,2171,0.02095333,1085.51047666464
hist_vol_50,2167,0.019293819,1083.5096469093114
volume_std,1924,0.016670523,962.0083352616057
vol_zscore,1914,0.015187835,957.0075939176604
hour_utc,1879,0.01991708,939.5099585400894
rsi_14,1834,0.014120127,917.0070600635372
macd_hist,1822,0.013216629,911.0066083143465
vol_trend,1820,0.01424178,910.0071208900772
bb_width,1812,0.013955852,906.0069779260084
vol_expansion,1693,0.0146917235,846.5073458617553
volume_sma,1663,0.016206848,831.5081034237519
hist_vol_20,1652,0.01617743,826.0080887153745
returns_1h,1528,0.011008917,764.005504458677
bb_position,1478,0.011912921,739.0059564607218
atr_percentile,1469,0.014386343,734.5071931714192
eth_btc_ratio,1463,0.019521032,731.5097605157644
returns_4h,1424,0.011939019,712.0059695094824
treasury_10y,1247,0.018205117,623.5091025587171
vix,1226,0.02269263,613.0113463150337
vwap,1154,0.021915581,577.0109577905387
returns_15m,1151,0.008918516,575.5044592581689
high_low_range,1141,0.014100957,570.5070504783653
close_position,1135,0.008056131,567.5040280655958
atr_ratio,1132,0.03398534,566.0169926695526
spx,1131,0.022597175,565.5112985875458
volume_zscore,1119,0.0099901855,559.5049950927496
atr_14,1104,0.054866888,552.0274334438145
keltner_width,1103,0.060014695,551.5300073474646
dxy,1003,0.02028092,501.51014045998454
ema_200_1h,1002,0.022410948,501.01120547391474
volume_ratio,969,0.009909885,484.5049549425021
ema_50_1h,967,0.02302744,483.5115137202665
transaction_volume,924,0.012639423,462.0063197114505
weekday,790,0.02415645,395.0120782246813
minute_utc,282,0.006819764,141.00340988207608
us_afterhours,198,0.023375155,99.0116875777021
europe_session,190,0.019377856,95.00968892779201
us_session,153,0.020918759,76.51045937929302
asia_europe_overlap,148,0.020842692,74.01042134594172
europe_us_overlap,147,0.03539965,73.51769982464612
vol_regime_encoded,147,0.02784689,73.51392344478518
above_ema_200,143,0.021052727,71.51052636373788
asia_session,139,0.016100157,69.50805007852614
us_market_open,115,0.022863703,57.51143185142428
us_premarket,106,0.030546593,53.015273296274245
is_weekend,39,0.033755593,19.51687779650092
btc_dominance,0,0.0,0.0
