feature,lgb_importance,xgb_importance,avg_importance
adx_14,3113,0.014379687,1556.507189843338
obv,2809,0.031946458,1404.5159732289612
btc_correlation,2485,0.013588759,1242.5067943795584
eth_btc_ratio,2362,0.0154050235,1181.0077025117353
vix,2268,0.022138853,1134.011069426313
treasury_10y,2090,0.0140017,1045.007000850048
dist_ema_50,2007,0.014252549,1003.5071262745187
hour_utc,1938,0.013447312,969.0067236558534
vol_zscore,1935,0.012000264,967.5060001318343
volume_sma,1905,0.059899736,952.5299498680979
hist_vol_50,1830,0.01739702,915.0086985100061
vol_trend,1822,0.021779893,911.0108899464831
vol_expansion,1762,0.009721125,881.0048605622724
macd_hist,1728,0.014825126,864.0074125630781
atr_percentile,1705,0.011637257,852.505818628706
dxy,1703,0.016578672,851.5082893362269
bb_position,1612,0.017463459,806.008731729351
volume_std,1609,0.014996696,804.5074983481318
bb_width,1567,0.029252635,783.5146263176575
rsi_14,1533,0.011879493,766.5059397462755
hist_vol_20,1297,0.010784149,648.505392074585
vwap,1207,0.032695923,603.5163479615003
returns_4h,1130,0.009404967,565.0047024833038
returns_1h,1111,0.025447324,555.5127236619592
volume_ratio,1106,0.014436629,553.0072183143348
close_position,1078,0.004882321,539.0024411606137
atr_ratio,1076,0.03349829,538.0167491454631
atr_14,1060,0.076421075,530.0382105372846
volume_zscore,990,0.0076879314,495.00384396570735
high_low_range,988,0.014899606,494.0074498029426
ema_200_1h,977,0.036319792,488.51815989613533
spx,907,0.015789298,453.50789464917034
returns_15m,869,0.0132910935,434.5066455467604
ema_50_1h,826,0.03462735,413.0173136740923
weekday,793,0.01526622,396.50763311004266
transaction_volume,766,0.023241911,383.01162095554173
keltner_width,719,0.057946198,359.5289730988443
adx_14_1h,299,0.010599879,149.50529993930832
vol_regime_encoded,229,0.016745204,114.50837260205299
minute_utc,220,0.002562994,110.00128149695229
us_session,205,0.02360817,102.51180408522487
europe_session,202,0.023928072,101.01196403615177
us_afterhours,173,0.019979598,86.50998979900032
asia_session,142,0.014406896,71.00720344809815
us_market_open,131,0.012280754,65.50614037690684
above_ema_200,129,0.008489115,64.50424455758184
asia_europe_overlap,124,0.019409822,62.00970491115004
europe_us_overlap,123,0.01150387,61.505751934833825
us_premarket,75,0.011135062,37.505567531101406
is_weekend,42,0.022118654,21.011059327051044
btc_dominance,0,0.0,0.0
