feature,lgb_importance,xgb_importance,avg_importance
adx_14_1h,3173,0.017325683,1586.5086628412828
btc_correlation,2662,0.016529137,1331.0082645686343
dist_ema_50,2432,0.01672463,1216.0083623146638
treasury_10y,2357,0.018705497,1178.5093527482823
vix,2336,0.01919305,1168.0095965247601
hist_vol_50,2269,0.018644039,1134.509322019294
eth_btc_ratio,2209,0.017809508,1104.5089047541842
obv,2199,0.01922891,1099.5096144545823
hour_utc,2182,0.024396732,1091.0121983662248
dxy,2092,0.019438162,1046.009719081223
adx_14,2043,0.014199369,1021.5070996843278
volume_std,2025,0.015945857,1012.5079729286954
volume_sma,1684,0.014942355,842.007471177727
bb_width,1647,0.013428647,823.5067143235356
vol_trend,1641,0.013811177,820.5069055883214
macd_hist,1580,0.013352811,790.0066764056683
vol_zscore,1532,0.015238392,766.0076191960834
hist_vol_20,1530,0.01525742,765.0076287100092
vwap,1526,0.018399172,763.0091995857656
spx,1515,0.019840492,757.5099202459678
rsi_14,1513,0.014515522,756.5072577609681
atr_14,1455,0.015048733,727.5075243664905
vol_expansion,1412,0.0138944285,706.0069472142495
ema_200_1h,1392,0.02056457,696.0102822845802
atr_percentile,1378,0.014924733,689.0074623664841
weekday,1354,0.02261298,677.0113064898178
ema_50_1h,1290,0.01933399,645.0096669951454
atr_ratio,1219,0.04753146,609.5237657297403
keltner_width,1090,0.115553446,545.057776723057
returns_4h,948,0.012749865,474.0063749323599
bb_position,905,0.011805633,452.5059028165415
returns_1h,786,0.010166135,393.00508306734264
high_low_range,574,0.014731869,287.00736593455076
transaction_volume,536,0.011889532,268.0059447661042
volume_zscore,455,0.009879586,227.50493979314342
returns_15m,412,0.0084415255,206.00422076275572
volume_ratio,411,0.009782499,205.5048912493512
vol_regime_encoded,391,0.03418143,195.51709071546793
close_position,372,0.008049423,186.00402471143752
europe_session,288,0.04360336,144.02180168032646
us_session,194,0.02448934,97.01224466972053
asia_europe_overlap,163,0.018517885,81.50925894267857
asia_session,158,0.022012023,79.01100601162761
above_ema_200,126,0.01884955,63.00942477490753
europe_us_overlap,114,0.014688172,57.00734408618882
us_market_open,108,0.015309936,54.00765496818349
us_afterhours,105,0.019528853,52.50976442638785
is_weekend,85,0.029369948,42.514684974215925
us_premarket,82,0.02887969,41.01443984545767
minute_utc,50,0.006682811,25.003341405419633
btc_dominance,0,0.0,0.0
