feature,lgb_importance,xgb_importance,avg_importance
btc_correlation,3011,0.016588457,1505.5082942284644
dist_ema_50,2594,0.0179288,1297.0089643998072
vix,2509,0.01942361,1254.5097118047997
treasury_10y,2439,0.01997856,1219.5099892802536
hist_vol_50,2356,0.01661902,1178.0083095096052
dxy,2284,0.019392794,1142.009696396999
adx_14,2243,0.014154494,1121.5070772469044
hour_utc,2239,0.019313551,1119.5096567757428
volume_std,2036,0.01534143,1018.0076707149856
eth_btc_ratio,2003,0.01719096,1001.5085954796523
volume_sma,1913,0.016304692,956.5081523461267
obv,1872,0.01837873,936.0091893654317
vwap,1821,0.018223813,910.5091119064018
vol_zscore,1807,0.014852313,903.5074261566624
vol_trend,1804,0.013613614,902.0068068071268
ema_200_1h,1719,0.020702612,859.5103513058275
spx,1706,0.01909154,853.0095457695425
vol_expansion,1643,0.013494268,821.5067471340299
ema_50_1h,1622,0.018906547,811.0094532733783
atr_percentile,1547,0.014335945,773.5071679726243
hist_vol_20,1525,0.018114133,762.5090570664033
atr_14,1488,0.021753125,744.0108765624464
macd_hist,1401,0.012577203,700.5062886015512
weekday,1353,0.021032764,676.5105163818225
atr_ratio,1350,0.05358109,675.0267905443907
rsi_14,1318,0.012378694,659.0061893467791
bb_position,1108,0.011911039,554.0059555196203
keltner_width,1018,0.120529376,509.0602646879852
returns_4h,930,0.01201789,465.0060089449398
bb_width,836,0.014312469,418.00715623470023
adx_14_1h,797,0.022236422,398.51111821085215
returns_1h,794,0.009580345,397.0047901724465
transaction_volume,655,0.0303915,327.51519574970007
high_low_range,573,0.015837427,286.50791871361434
volume_zscore,492,0.010037046,246.00501852296293
volume_ratio,450,0.010571597,225.005285798572
close_position,412,0.00806086,206.0040304302238
vol_regime_encoded,397,0.024095304,198.51204765215516
returns_15m,351,0.008626744,175.50431337207556
europe_session,284,0.03409581,142.01704790443182
asia_session,169,0.018337809,84.5091689042747
us_market_open,165,0.014854617,82.50742730870843
above_ema_200,160,0.018636787,80.00931839365512
europe_us_overlap,156,0.018712938,78.00935646891594
us_session,142,0.015266878,71.00763343879953
us_premarket,134,0.029500155,67.01475007738918
us_afterhours,127,0.022061273,63.51103063672781
is_weekend,95,0.026784474,47.51339223701507
asia_europe_overlap,94,0.014149318,47.0070746592246
minute_utc,58,0.0061191088,29.003059554379433
btc_dominance,0,0.0,0.0
