feature,lgb_importance,xgb_importance,avg_importance
adx_14_1h,3051,0.016875463,1525.5084377313033
btc_correlation,2691,0.016313981,1345.5081569906324
vix,2536,0.018972687,1268.0094863437116
dist_ema_50,2250,0.015518096,1125.0077590481378
obv,2240,0.01746861,1120.0087343053892
treasury_10y,2205,0.018887905,1102.509443952702
hour_utc,2199,0.021433301,1099.510716650635
hist_vol_50,2191,0.01749991,1095.5087499553338
adx_14,2187,0.01386287,1093.5069314348511
dxy,2119,0.018271416,1059.5091357082129
eth_btc_ratio,2092,0.016973473,1046.0084867365658
volume_std,2002,0.014806756,1001.0074033779092
vol_trend,1797,0.013857285,898.5069286422804
spx,1766,0.019700054,883.0098500270396
volume_sma,1696,0.015429794,848.0077148969285
vol_zscore,1573,0.014411456,786.5072057279758
vwap,1570,0.017348114,785.0086740572006
macd_hist,1565,0.012965039,782.506482519675
bb_width,1556,0.013811097,778.0069055482745
atr_14,1542,0.015373102,771.0076865511946
atr_percentile,1539,0.014345897,769.5071729486808
vol_expansion,1505,0.014095529,752.5070477644913
ema_200_1h,1375,0.01926034,687.5096301697195
hist_vol_20,1348,0.013974289,674.0069871447049
weekday,1319,0.020056468,659.5100282337517
ema_50_1h,1267,0.018491967,633.509245983325
rsi_14,1249,0.012934766,624.5064673828892
atr_ratio,1160,0.06905043,580.0345252156258
keltner_width,1082,0.11253533,541.0562676638365
returns_4h,984,0.011719027,492.0058595133014
bb_position,853,0.011050289,426.50552514428273
returns_1h,736,0.009583567,368.0047917836346
high_low_range,610,0.017557113,305.00877855625004
transaction_volume,595,0.010801936,297.5054009677842
volume_zscore,496,0.0100342315,248.00501711573452
volume_ratio,426,0.01077857,213.0053892848082
close_position,410,0.007499908,205.00374995404854
vol_regime_encoded,399,0.057144035,199.52857201732695
returns_15m,359,0.007499061,179.5037495305296
europe_session,266,0.030050246,133.0150251230225
us_session,188,0.026438385,94.01321919262409
us_afterhours,161,0.021780534,80.51089026685804
us_premarket,146,0.032645777,73.01632288843393
above_ema_200,146,0.016561428,73.00828071404248
asia_session,136,0.017432624,68.00871631223708
us_market_open,130,0.015843574,65.00792178697884
europe_us_overlap,91,0.017228726,45.50861436314881
is_weekend,72,0.022508066,36.01125403307378
minute_utc,65,0.0062812264,32.50314061320387
asia_europe_overlap,59,0.015036196,29.507518098223954
btc_dominance,0,0.0,0.0
