feature,lgb_importance,xgb_importance,avg_importance
eth_btc_ratio,3190,0.020488618,1595.0102443089709
btc_correlation,2856,0.016940547,1428.0084702735767
obv,2583,0.02312379,1291.5115618947893
dist_ema_50,2317,0.020598928,1158.5102994637564
hist_vol_50,2293,0.024695298,1146.5123476488516
vix,2293,0.021693302,1146.5108466511592
adx_14,2228,0.014377295,1114.0071886475198
treasury_10y,2208,0.024804484,1104.0124022420496
dxy,2105,0.023946583,1052.5119732916355
volume_std,1932,0.021298261,966.0106491306797
volume_sma,1827,0.019382223,913.5096911117435
hour_utc,1797,0.014547655,898.5072738276795
macd_hist,1761,0.013716852,880.5068584261462
vol_zscore,1710,0.01635365,855.0081768250093
bb_width,1660,0.01492681,830.0074634049088
vol_expansion,1646,0.014147746,823.0070738731883
vol_trend,1637,0.015628316,818.5078141577542
atr_percentile,1552,0.015461844,776.0077309221961
spx,1429,0.027542595,714.5137712974101
vwap,1406,0.0197312,703.0098655996844
hist_vol_20,1353,0.020830866,676.5104154329747
atr_14,1322,0.019682836,661.0098414178938
rsi_14,1314,0.012448052,657.0062240259722
bb_position,1215,0.012346899,607.5061734495685
ema_200_1h,1212,0.023189675,606.0115948375314
atr_ratio,1169,0.08473946,584.5423697307706
ema_50_1h,1167,0.021962233,583.5109811164439
returns_4h,1019,0.010789779,509.50539488950744
weekday,971,0.015846992,485.50792349595577
returns_1h,947,0.011610774,473.5058053871617
close_position,925,0.008421078,462.50421053916216
keltner_width,897,0.070978485,448.5354892425239
volume_zscore,835,0.010476451,417.50523822568357
adx_14_1h,811,0.027394295,405.5136971473694
volume_ratio,799,0.010190754,399.50509537709877
returns_15m,661,0.011525595,330.5057627973147
high_low_range,640,0.015674135,320.0078370673582
transaction_volume,626,0.012274297,313.00613714847714
vol_regime_encoded,244,0.030042404,122.01502120215446
europe_session,221,0.019090952,110.50954547617584
minute_utc,178,0.005765569,89.00288278446533
asia_session,173,0.017097093,86.50854854658246
above_ema_200,156,0.020643292,78.01032164599746
us_session,144,0.013557247,72.0067786234431
us_market_open,120,0.015211373,60.00760568631813
us_afterhours,112,0.02306138,56.01153068989515
europe_us_overlap,111,0.015552913,55.50777645641938
asia_europe_overlap,108,0.02022325,54.01011162530631
us_premarket,68,0.017599827,34.00879991333932
is_weekend,52,0.018366097,26.009183048270643
btc_dominance,0,0.0,0.0
