feature,lgb_importance,xgb_importance,avg_importance
adx_14_1h,2858,0.018239565,1429.0091197825968
btc_correlation,2762,0.017604971,1381.0088024856523
dist_ema_50,2438,0.016554372,1219.0082771861926
adx_14,2427,0.016192248,1213.5080961240456
hist_vol_50,2329,0.019208416,1164.5096042081714
treasury_10y,2277,0.019666506,1138.5098332529888
hour_utc,2089,0.022981247,1044.5114906234667
vix,2083,0.020191068,1041.5100955339149
volume_std,2059,0.01711778,1029.508558889851
dxy,2049,0.020936199,1024.5104680992663
volume_sma,1891,0.01776436,945.5088821798563
vol_trend,1814,0.014959662,907.0074798311107
bb_width,1759,0.014946957,879.5074734785594
vol_zscore,1683,0.015736023,841.5078680114821
spx,1652,0.02619686,826.0130984298885
vol_expansion,1636,0.014990013,818.0074950065464
macd_hist,1620,0.014384054,810.0071920268238
atr_percentile,1561,0.015595621,780.5077978107147
obv,1539,0.024172036,769.5120860179886
rsi_14,1538,0.014693869,769.0073469346389
hist_vol_20,1534,0.01618709,767.0080935452133
eth_btc_ratio,1406,0.019123618,703.0095618087798
ema_50_1h,1349,0.022746438,674.5113732190803
vwap,1346,0.021483414,673.0107417069376
ema_200_1h,1302,0.022829669,651.0114148342982
atr_14,1299,0.01818998,649.5090949898586
keltner_width,1238,0.08543144,619.0427157208323
atr_ratio,1227,0.05392023,613.5269601158798
weekday,1170,0.022572748,585.0112863741815
returns_4h,1135,0.013599003,567.5067995013669
bb_position,1023,0.012665065,511.5063325325027
returns_1h,827,0.01124104,413.5056205200963
high_low_range,696,0.012636132,348.0063180658035
transaction_volume,629,0.015741203,314.50787060149014
volume_ratio,589,0.010897009,294.5054485043511
volume_zscore,542,0.010870761,271.005435380619
close_position,469,0.008610017,234.50430500833318
returns_15m,462,0.008941266,231.0044706328772
vol_regime_encoded,349,0.02175058,174.51087529025972
europe_session,309,0.028373005,154.5141865024343
asia_session,154,0.020739064,77.01036953181028
us_afterhours,132,0.0221346,66.0110673001036
us_premarket,117,0.031081267,58.51554063335061
us_session,111,0.019517902,55.50975895114243
above_ema_200,111,0.018574834,55.50928741693497
us_market_open,109,0.017363971,54.50868198554963
europe_us_overlap,86,0.018252917,43.00912645831704
minute_utc,83,0.0067206267,41.50336031336337
asia_europe_overlap,70,0.016879162,35.00843958090991
is_weekend,62,0.028794156,31.014397078193724
btc_dominance,0,0.0,0.0
