feature,lgb_importance,xgb_importance,avg_importance
btc_correlation,2757,0.014263282,1378.5071316407993
dist_ema_50,2651,0.016247032,1325.5081235161051
vix,2544,0.018137058,1272.0090685291216
eth_btc_ratio,2276,0.01668502,1138.0083425100893
dxy,2265,0.019212952,1132.5096064759418
hist_vol_50,2259,0.017876754,1129.5089383767918
treasury_10y,2249,0.017825078,1124.5089125391096
adx_14,2206,0.012534889,1103.0062674446963
hour_utc,2164,0.016830979,1082.0084154894575
obv,1994,0.017209588,997.0086047938094
spx,1985,0.020420209,992.5102101042867
volume_std,1962,0.013571126,981.0067855631933
vol_trend,1911,0.0137093775,955.5068546887487
volume_sma,1761,0.01960325,880.5098016252741
bb_width,1637,0.013802408,818.5069012041204
macd_hist,1612,0.012637453,806.0063187265769
vol_zscore,1611,0.013958376,805.5069791879505
vol_expansion,1598,0.012340522,799.0061702611856
ema_200_1h,1570,0.018569075,785.0092845372856
vwap,1566,0.016941767,783.008470883593
atr_percentile,1496,0.012584056,748.006292027887
ema_50_1h,1481,0.018155018,740.5090775089338
hist_vol_20,1441,0.012565424,720.5062827118672
rsi_14,1401,0.012004891,700.5060024457052
atr_14,1350,0.01686034,675.0084301698953
weekday,1296,0.019029653,648.0095148263499
atr_ratio,1101,0.07510476,550.5375523790717
keltner_width,1045,0.13693061,522.5684653073549
returns_4h,1018,0.011170563,509.005585281644
bb_position,1015,0.010893208,507.50544660398737
returns_1h,912,0.0096978275,456.00484891375527
transaction_volume,664,0.02071229,332.0103561449796
high_low_range,640,0.015383662,320.0076918308623
volume_ratio,582,0.009608966,291.0048044831492
volume_zscore,557,0.0094617875,278.50473089376464
adx_14_1h,512,0.016651748,256.0083258738741
close_position,494,0.007834,247.00391699979082
returns_15m,492,0.008911197,246.00445559853688
vol_regime_encoded,356,0.06629424,178.03314711898565
europe_session,302,0.02875075,151.01437537465245
us_session,180,0.01640233,90.00820116512477
us_market_open,179,0.01667987,89.50833993498236
us_afterhours,158,0.015957506,79.00797875318676
asia_session,157,0.018336622,78.50916831102222
us_premarket,123,0.02189962,61.51094981003553
above_ema_200,121,0.015470287,60.50773514341563
europe_us_overlap,111,0.014884479,55.507442239671946
asia_europe_overlap,92,0.012123741,46.00606187060475
minute_utc,84,0.0065370044,42.003268502186984
is_weekend,62,0.020727413,31.01036370638758
btc_dominance,0,0.0,0.0
